"isp         ","cf          ","o/f         ","aeat        "
   0.00000E+00,   0.00000E+00,   5.00000E-01,   0.00000E+00
   1.06030E+03,   6.59140E-01,   5.00000E-01,   1.00000E+00
   3.13645E+03,   1.94979E+00,   5.00000E-01,   2.50000E+02
   0.00000E+00,   0.00000E+00,   7.50000E-01,   0.00000E+00
   1.04299E+03,   6.53698E-01,   7.50000E-01,   1.00000E+00
   3.18564E+03,   1.99660E+00,   7.50000E-01,   2.50000E+02
   0.00000E+00,   0.00000E+00,   1.00000E+00,   0.00000E+00
   1.02752E+03,   6.52694E-01,   1.00000E+00,   1.00000E+00
   3.20776E+03,   2.03760E+00,   1.00000E+00,   2.50000E+02
   0.00000E+00,   0.00000E+00,   1.50000E+00,   0.00000E+00
   1.00212E+03,   6.54145E-01,   1.50000E+00,   1.00000E+00
   3.07772E+03,   2.00902E+00,   1.50000E+00,   2.50000E+02
   0.00000E+00,   0.00000E+00,   2.00000E+00,   0.00000E+00
   9.82452E+02,   6.56993E-01,   2.00000E+00,   1.00000E+00
   2.94898E+03,   1.97206E+00,   2.00000E+00,   2.50000E+02
   0.00000E+00,   0.00000E+00,   2.50000E+00,   0.00000E+00
   9.66776E+02,   6.60376E-01,   2.50000E+00,   1.00000E+00
   2.84631E+03,   1.94423E+00,   2.50000E+00,   2.50000E+02
   0.00000E+00,   0.00000E+00,   3.00000E+00,   0.00000E+00
   9.53845E+02,   6.63927E-01,   3.00000E+00,   1.00000E+00
   2.76319E+03,   1.92333E+00,   3.00000E+00,   2.50000E+02
   0.00000E+00,   0.00000E+00,   3.50000E+00,   0.00000E+00
   9.42868E+02,   6.67420E-01,   3.50000E+00,   1.00000E+00
   2.69469E+03,   1.90747E+00,   3.50000E+00,   2.50000E+02
   0.00000E+00,   0.00000E+00,   4.00000E+00,   0.00000E+00
   9.33277E+02,   6.70665E-01,   4.00000E+00,   1.00000E+00
   2.63734E+03,   1.89523E+00,   4.00000E+00,   2.50000E+02
   0.00000E+00,   0.00000E+00,   4.50000E+00,   0.00000E+00
   9.24756E+02,   6.73598E-01,   4.50000E+00,   1.00000E+00
   2.58867E+03,   1.88560E+00,   4.50000E+00,   2.50000E+02
   0.00000E+00,   0.00000E+00,   5.00000E+00,   0.00000E+00
   9.17095E+02,   6.76200E-01,   5.00000E+00,   1.00000E+00
   2.54684E+03,   1.87786E+00,   5.00000E+00,   2.50000E+02
